MAE/step,RMSE/step,Model,Model Arch,Coin,Input Width,Label Width,Batch Size,Learning Rate,Num Epochs,Windows Normalization Length,Train Loss,Validation Loss,Features
87.38145788499405,168.82597353068317,ConvFC,"ConvFC(;   (conv): Conv1d(1, 16, kernel_size=(3,), stride=(1,));   (fc): Sequential(;     (0): Linear(in_features=1568, out_features=128, bias=True);     (1): ReLU();     (2): Linear(in_features=128, out_features=12, bias=True);   ); )",BTCUSDT,100,12,64,0.001,50,15,0.001780087736228274,0.0022208015011243322,close
87.76862079490873,169.6113877872465,SimpleFC,"SimpleFC(;   (fc): Sequential(;     (0): Flatten(start_dim=1, end_dim=-1);     (1): Linear(in_features=100, out_features=128, bias=True);     (2): ReLU();     (3): Linear(in_features=128, out_features=12, bias=True);   ); )",BTCUSDT,100,12,64,0.001,50,15,0.001781080510283326,0.0022395980691454027,close
81.34957859426707,160.12186200132143,GRUStacked,"GRUStacked(;   (gru): GRU(1, 64, num_layers=2, batch_first=True);   (fc): Linear(in_features=64, out_features=12, bias=True); )",BTCUSDT,100,12,64,0.001,50,15,0.0015902831965695877,0.0020574372533679565,close
84.04982529609113,164.8203707131684,TransformerTimeSeries,"TransformerTimeSeries(;   (input_projection): Linear(in_features=1, out_features=64, bias=True);   (transformer_encoder): TransformerEncoder(;     (layers): ModuleList(;       (0-1): 2 x TransformerEncoderLayer(;         (self_attn): MultiheadAttention(;           (out_proj): NonDynamicallyQuantizab",BTCUSDT,100,12,64,0.001,50,15,0.0017865230456289717,0.002162528725662651,close
85.95295250142983,166.66070812238502,ConvFC,"ConvFC(;   (conv): Conv1d(1, 16, kernel_size=(3,), stride=(1,));   (fc): Sequential(;     (0): Linear(in_features=1568, out_features=128, bias=True);     (1): ReLU();     (2): Linear(in_features=128, out_features=12, bias=True);   ); )",BTCUSDT,100,12,64,0.001,50,15,0.0018449881765129114,0.0021995675095170288,close
85.78388829916986,169.38607236214267,SimpleFC,"SimpleFC(;   (fc): Sequential(;     (0): Flatten(start_dim=1, end_dim=-1);     (1): Linear(in_features=100, out_features=128, bias=True);     (2): ReLU();     (3): Linear(in_features=128, out_features=12, bias=True);   ); )",BTCUSDT,100,12,64,0.001,50,15,0.0017913826138441628,0.002189844649044374,close
78.57725584315351,158.38927011422217,GRUStacked,"GRUStacked(;   (gru): GRU(1, 64, num_layers=2, batch_first=True);   (fc): Linear(in_features=64, out_features=12, bias=True); )",BTCUSDT,100,12,64,0.001,50,15,0.0016439605988699442,0.0019606557037233677,close
86.51804172018079,169.36791516420206,TransformerTimeSeries,"TransformerTimeSeries(;   (input_projection): Linear(in_features=1, out_features=64, bias=True);   (transformer_encoder): TransformerEncoder(;     (layers): ModuleList(;       (0-1): 2 x TransformerEncoderLayer(;         (self_attn): MultiheadAttention(;           (out_proj): NonDynamicallyQuantizab",BTCUSDT,100,12,64,0.001,50,15,0.0018620357836886669,0.002201581123545946,close
87.06289581130005,168.037428945162,ConvFC,"ConvFC(;   (conv): Conv1d(1, 16, kernel_size=(3,), stride=(1,));   (fc): Sequential(;     (0): Linear(in_features=1568, out_features=128, bias=True);     (1): ReLU();     (2): Linear(in_features=128, out_features=12, bias=True);   ); )",BTCUSDT,100,12,64,0.001,50,15,0.0018584851503872985,0.00219442081569631,close
89.42830854186532,174.1598833978492,SimpleFC,"SimpleFC(;   (fc): Sequential(;     (0): Flatten(start_dim=1, end_dim=-1);     (1): Linear(in_features=100, out_features=128, bias=True);     (2): ReLU();     (3): Linear(in_features=128, out_features=12, bias=True);   ); )",BTCUSDT,100,12,64,0.001,50,15,0.001792861970888249,0.002251150452077461,close
